Name1,Latitude1,Longitude1,Receiver.Range
NL7,-21.8781,113.89846,N
NL6,-21.88151,113.90495,N
NL5,-21.8847,113.90495,N
NL4,-21.88864,113.91722,N
NL1,-21.89,113.93,N
NL3,-21.89202,113.92342,N
NL2,-21.89591,113.9297,N
CL13,-22.58376,113.58038,N
CL12,-22.58646,113.58691,N
CL11,-22.58875,113.59397,N
CL10,-22.59086,113.60066,N
CL9,-22.59328,113.60761,N
CL8,-22.59564,113.61456,N
CL7,-22.59807,113.62138,N
CL6,-22.60266,113.62783,N
CL5,-22.6057,113.63402,N
CL4,-22.60848,113.64124,N
CL3,-22.61119,113.64845,N
CL1,-22.61184,113.66226,N
CL2,-22.61206,113.65474,N
Stanley.Pool.North,-22.987417,113.79986,N
Stanley.Pool.West,-22.994883,113.79615,N
Stanley.Pool.Mid,-22.996533,113.80476,N
Stanley.Pool.East,-22.997583,113.81293,N
23rd.Parallel.East,-22.999617,113.76641,N
23rd.Parallel.West,-22.99962,113.76055,N
Stanley.Pool.North.Reef,-23.042707,113.79277,N
Stanley.Pool.Turtles,-23.074117,113.74848,N
Palm.Tree,-23.0949,113.79785,N
SL22,-23.11381,113.60912,N
SL21,-23.11467,113.61637,N
SL20,-23.11549,113.6237,N
SL19,-23.11623,113.63119,N
SL18,-23.11716,113.63836,N
SL17,-23.11792,113.64568,N
SL16,-23.11871,113.65295,N
SL15,-23.11952,113.66044,N
SL5,-23.12,113.73,N
SL14,-23.12011,113.66761,N
South.line.2,-23.12115,113.75153,N
SL13,-23.12118,113.67519,N
South.Line.1,-23.12137,113.75722,N
SL12,-23.12192,113.68259,N
SL11,-23.12271,113.6899,N
SL10,-23.12338,113.69729,N
SL9,-23.12428,113.70481,N
South.line.3,-23.1246,113.7491,N
SL8,-23.12565,113.71219,N
Skeleton.Beach.Skully.North,-23.125883,113.76782,N
SL7,-23.12615,113.71936,N
SL6,-23.12679,113.72662,N
Skully.Beach.mid.2,-23.127342,113.7688,N
Skeleton.Beach.Skully.inner,-23.12863,113.76971,N
Skully.Beach.mid.1,-23.12863,113.76971,N
SL4,-23.129967,113.739967,N
Skully.Beach.South,-23.13008,113.76998,N
Skeleton.Beach.South.Ashos,-23.135867,113.7537,N
NSW.Test./.unknown.receiver.01,-31.12345,115.12345,S
Ocean.Reef,-31.76424,115.72142,S
SMN.metro.02b,-31.7777,115.71348,S
SMN.metro.02a,-31.77947,115.7228,S
Mullaloo.North,-31.781833,115.726533,S
Mullaloo.South,-31.788617,115.726483,S
2.5.km.off.Mullaloo,-31.78949,115.70642,S
3km.off.Pinaroo.Point,-31.79814,115.69584,S
SMN.metro.04,-31.79814,115.69584,S
SMN.metro.05,-31.80827,115.69111,S
SMN.metro.06,-31.81837,115.69321,S
SMN.metro.07,-31.82854,115.6953,S
SMN.metro.08,-31.83846,115.69848,S
SMN.metro.09,-31.84689,115.70255,S
SMN.metro.10,-31.85862,115.7031,S
3.5.km.off.Trigg,-31.86853,115.71356,S
2.5.km.off.Trigg,-31.87541,115.72427,S
2km.off.Scarborough,-31.88565,115.72967,S
1.5km.off.Scarborough,-31.89295,115.73751,S
Scarborough,-31.89806,115.74832,S
SMN.metro.16,-31.90954,115.74799,S
SMN.metro.17,-31.91904,115.74783,S
Floreat,-31.92875,115.74752,S
Clever.Buoy.VR2C,-31.9356,115.7503,S
City.Beach,-31.93879,115.74737,S
SMN.metro.18,-31.94864,115.74767,S
SMN.metro.19,-31.94864,115.74767,S
SMN.metro.20,-31.94864,115.74767,S
SMN.metro.21,-31.94864,115.74767,S
SMN.metro.22,-31.94864,115.74767,S
SMN.metro.23,-31.94864,115.74767,S
SMN.metro.24,-31.94864,115.74767,S
Swanbourne,-31.97784,115.74646,S
North.Cottesloe,-31.98765,115.74408,S
Cottesloe,-31.99596,115.74312,S
WA.Test.Station,-32,115,S
SMN.metro.25,-32.00659,115.74547,S
SMN.metro.26,-32.00659,115.74547,S
OTN.23,-32.00854,115.56013,S
OTN.22,-32.01054,115.56795,S
OTN.21,-32.01221,115.57578,S
OTN.20,-32.01505,115.58302,S
OTN.19,-32.01705,115.59084,S
SMN.metro.27,-32.01748,115.74414,S
OTN.18,-32.01838,115.59867,S
OTN.17,-32.01988,115.60669,S
OTN.16,-32.02171,115.61451,S
OTN.52,-32.02214,115.21929,S
OTN.53,-32.02214,115.21112,S
OTN.24,-32.02237,115.44509,S
OTN.25,-32.02237,115.43718,S
OTN.26,-32.02237,115.42928,S
OTN.27,-32.02237,115.42138,S
OTN.28,-32.02237,115.41347,S
OTN.29,-32.02237,115.40557,S
OTN.30,-32.02237,115.3974,S
OTN.31,-32.02237,115.38949,S
OTN.32,-32.02237,115.38133,S
OTN.33,-32.02237,115.37342,S
OTN.34,-32.02237,115.36499,S
OTN.35,-32.02237,115.35709,S
OTN.36,-32.02237,115.34918,S
OTN.37,-32.02237,115.34101,S
OTN.38,-32.02237,115.33285,S
OTN.39,-32.02237,115.32468,S
OTN.40,-32.02237,115.31678,S
OTN.41,-32.02237,115.30834,S
OTN.42,-32.02237,115.30017,S
OTN.43,-32.02237,115.29201,S
OTN.44,-32.02237,115.2841,S
OTN.45,-32.02237,115.2762,S
OTN.46,-32.02237,115.26829,S
OTN.47,-32.02237,115.26013,S
OTN.48,-32.02237,115.25196,S
OTN.49,-32.02237,115.24379,S
OTN.50,-32.02237,115.23562,S
OTN.51,-32.02237,115.22772,S
Strickland.Bay.(Rottnest),-32.02313,115.47654,S
OTN.15,-32.02354,115.62214,S
Bickley.Point.(Rottnest),-32.02417,115.57145,S
OTN.14,-32.02488,115.62997,S
Leighton,-32.02628,115.74365,S
OTN.13,-32.02638,115.63799,S
OTN.12,-32.02804,115.64581,S
OTN.11,-32.02938,115.65364,S
OTN.10,-32.03088,115.66147,S
OTN.09,-32.03238,115.66948,S
OTN.54,-32.03251,115.5343,S
SMN.metro.32,-32.0332,115.5886,S
SMN.metro.29,-32.03351,115.73922,S
OTN.08,-32.03421,115.67712,S
Ps0,-32.03473,115.64401,S
Ps1,-32.03473,115.64401,S
OTN.07,-32.03654,115.68475,S
OTN.06,-32.03788,115.69257,S
OTN.55,-32.038,115.5398,S
Ps2,-32.03935,115.64191,S
OTN.05,-32.04004,115.7,S
SMN.metro.30,-32.04081,115.72875,S
OTN.04,-32.04154,115.70783,S
OTN.03,-32.04321,115.71604,S
OTN.56,-32.04348,115.5453,S
OTN.02,-32.04454,115.72407,S
Ps3,-32.04466,115.64059,S
SMN.metro.33,-32.04619,115.60439,S
OTN.57,-32.04897,115.5508,S
Ps4,-32.04949,115.63825,S
OTN.01,-32.05034,115.72381,S
OTN.58,-32.05437,115.55611,S
Ps5,-32.05471,115.6364,S
OTN.59,-32.05994,115.5618,S
Ps6,-32.06033,115.63376,S
SMN.metro.34,-32.06356,115.61681,S
OTN.60,-32.06566,115.56812,S
Ps7,-32.07013,115.63447,S
OTN.61,-32.07082,115.57277,S
Ps8,-32.07503,115.63607,S
OTN.62,-32.07606,115.57882,S
Ps9,-32.07904,115.63982,S
OTN.63,-32.08188,115.58404,S
Ps10,-32.08333,115.64185,S
OTN.64,-32.08784,115.5878,S
Ps11,-32.08849,115.64366,S
Ps12,-32.09316,115.64524,S
OTN.65,-32.09351,115.59426,S
Stragglers.Reef,-32.09477,115.62566,S
Ps13,-32.09778,115.64736,S
OTN.66,-32.09843,115.60044,S
Ps14,-32.1024,115.64994,S
OTN.67,-32.1038,115.60596,S
Ps15,-32.10689,115.65265,S
OTN.68,-32.10928,115.6114,S
Ps16,-32.11123,115.65556,S
SMN.metro.37,-32.1131,115.63526,S
OTN.69,-32.11476,115.61693,S
Ps17,-32.11532,115.65915,S
OTN.70,-32.12025,115.6225,S
OTN.71,-32.12573,115.628,S
Ps18,-32.12961,115.66418,S
SMN.metro.38,-32.13019,115.63691,S
OTN.72,-32.13121,115.6335,S
Ps33,-32.13337,115.69418,S
Ps19,-32.13411,115.66482,S
Ps34,-32.13471,115.70022,S
Ps35,-32.13559,115.70599,S
Ps36,-32.13633,115.71186,S
OTN.73,-32.13669,115.639,S
Ps31,-32.13686,115.68488,S
Ps32,-32.1369,115.69051,S
Ps37,-32.13698,115.71812,S
Ps20,-32.13717,115.66025,S
Ps38,-32.13741,115.72436,S
Ps39,-32.13791,115.73131,S
PS46,-32.13835,115.73697,S
Ps21,-32.14079,115.66196,S
Ps30,-32.1412,115.68494,S
OTN.74,-32.14217,115.6445,S
Ps29,-32.1432,115.68022,S
Garden.Island.(north.end),-32.14411,115.64283,S
Ps22,-32.14521,115.65961,S
Ps28,-32.14745,115.6812,S
OTN.75,-32.14765,115.65,S
Ps27,-32.14805,115.67602,S
Ps23,-32.14814,115.66358,S
Ps26,-32.14943,115.67104,S
Ps24,-32.1527,115.66272,S
OTN.76,-32.15313,115.6556,S
Ps25,-32.15407,115.67164,S
CSTA-20,-32.1617,115.72861,S
CSTA-11,-32.16307,115.73416,S
CSTA-16,-32.16392,115.73913,S
CSTA-14,-32.16608,115.72923,S
CSTA-12,-32.16785,115.73451,S
CSTA-15,-32.16909,115.74045,S
CS2,-32.17032,115.73629,S
CSTA-19,-32.17121,115.73035,S
CSTA-13,-32.17255,115.73638,S
CSTA-17,-32.17381,115.7413,S
CST1,-32.17529,115.73747,S
CSTA-18,-32.17728,115.73706,S
CST2,-32.18049,115.73822,S
CST3,-32.18512,115.73942,S
CST5,-32.18678,115.74471,S
CST4,-32.18694,115.7352,S
CSTA-6,-32.18714,115.73923,S
CST6,-32.19008,115.74053,S
CSTA-1,-32.19014,115.73447,S
CSTA-7,-32.1906,115.74659,S
CST8,-32.1913,115.74691,S
CST7,-32.19144,115.73493,S
CSTA-4,-32.19166,115.74023,S
CST11,-32.19206,115.75251,S
CS1,-32.19451,115.74062,S
CSTA-2,-32.1946,115.73669,S
CST9,-32.19465,115.74355,S
CSTA-3,-32.1955,115.74307,S
CSTA-8,-32.19551,115.74884,S
CST10,-32.19582,115.73482,S
CST12,-32.19642,115.74914,S
CSTA-9,-32.19856,115.73785,S
CST14,-32.19893,115.7395,S
CSTA-5,-32.19945,115.74403,S
CSTA-10,-32.19962,115.74919,S
CST13,-32.20004,115.74479,S
CST15,-32.20176,115.7502,S
CST16,-32.20554,115.7465,S
CST17,-32.2071,115.75204,S
CST18,-32.20974,115.74813,S
Ps40,-32.24598,115.70205,S
Ps41,-32.24863,115.70334,S
OTN.77,-32.24876,115.68764,S
Ps42,-32.24876,115.68764,S
OTN.78,-32.2534,115.68667,S
Ps43,-32.2534,115.68667,S
Ps44,-32.26037,115.69414,S
Ps45,-32.26772,115.70578,S
WS1,-32.31256,115.73096,S
WS2,-32.34442,115.73365,S
Warnbro.Sound,-32.34915,115.73338,S
Bunbury,-33.326036,115.622596,S
Meelup,-33.57247,115.093091,S
Busselton,-33.63853,115.3454,S
Smiths.Beach,-33.654717,115.006633,S
Cowaramup.Bay.(north),-33.856967,114.979117,S
Cowaramup.Bay.(south),-33.859383,114.976043,S
Lefthanders,-33.8872,114.97983,S
SMN.Recherche.04,-33.989166,122.08795,S
SMN.Recherche.05,-34.003771,122.0055,S
SMN.Recherche.03,-34.0182,123.52905,S
SMN.Recherche.06,-34.02058,122.19403,S
SMN.Recherche.07,-34.02741,122.1958,S
SMN.Recherche.08,-34.03421,122.19781,S
SMN.Recherche.09,-34.04112,122.19972,S
SMN.Recherche.10,-34.04787,122.20179,S
SMN.Recherche.11,-34.05447,122.20471,S
SMN.Recherche.12,-34.06097,122.20779,S
SMN.Recherche.13,-34.06743,122.21096,S
SMN.Recherche.14,-34.07392,122.21423,S
SMN.Recherche.15,-34.0803,122.21732,S
SMN.Recherche.16,-34.08671,122.22054,S
SMN.Recherche.17,-34.09335,122.22363,S
SMN.Recherche.18,-34.09979,122.22653,S
SMN.Recherche.19,-34.10635,122.22922,S
SMN.Recherche.20,-34.1658,122.24187,S
SMN.Recherche.21,-34.17273,122.2431,S
SMN.Recherche.22,-34.1792,122.24515,S
SMN.Recherche.23,-34.18593,122.24554,S
SMN.Hamelin.01,-34.254744,115.019794,S
SMN.Hamelin.02,-34.255855,115.011212,S
SMN.Hamelin.03,-34.256965,115.002631,S
SMN.Hamelin.04,-34.258074,114.994048,S
SMN.Hamelin.05,-34.259183,114.985466,S
SMN.Hamelin.06,-34.260292,114.976884,S
SMN.Hamelin.07,-34.2614,114.968301,S
SMN.Hamelin.08,-34.262507,114.959718,S
SMN.Hamelin.09,-34.263613,114.951135,S
SMN.Hamelin.10,-34.264719,114.942551,S
SMN.Hamelin.11,-34.265825,114.933968,S
SMN.Hamelin.12,-34.26693,114.925384,S
SMN.Hamelin.13,-34.268034,114.9168,S
SMN.Hamelin.14,-34.269137,114.908216,S
SMN.Hamelin.15,-34.27024,114.899632,S
SMN.Hamelin.16,-34.271342,114.891048,S
SMN.Hamelin.17,-34.272444,114.882463,S
SMN.Hamelin.18,-34.273545,114.873878,S
SMN.Hamelin.19,-34.274646,114.865293,S
SMN.Hamelin.20,-34.275746,114.856708,S
SMN.Hamelin.21,-34.276845,114.848122,S
SMN.Hamelin.22,-34.277944,114.839537,S
SMN.Hamelin.23,-34.279042,114.830951,S
SMN.Hamelin.24,-34.280139,114.822365,S
SMN.Hamelin.25,-34.281236,114.813779,S
SMN.Hamelin.26,-34.282332,114.805192,S
SMN.Hamelin.27,-34.283428,114.796606,S
SMN.Hamelin.28,-34.284523,114.788019,S
SMN.Hamelin.29,-34.285617,114.779432,S
SMN.Hamelin.30,-34.286711,114.770845,S
SMN.Hamelin.31,-34.287804,114.762257,S
SMN.Hamelin.32,-34.288896,114.75367,S
SMN.Hamelin.33,-34.289988,114.745082,S
SMN.Hamelin.34,-34.29108,114.736494,S
SMN.Hamelin.35,-34.29217,114.727906,S
SMN.Hamelin.36,-34.29326,114.719318,S
SMN.Hamelin.37,-34.29435,114.710729,S
SMN.Hamelin.38,-34.295439,114.702141,S
SMN.Hamelin.39,-34.296527,114.693552,S
SMN.Hamelin.40,-34.297615,114.684963,S
SMN.Hamelin.41,-34.298702,114.676374,S
SMN.Hamelin.42,-34.299788,114.667784,S
SMN.Hamelin.43,-34.300874,114.659195,S
SMN.Hamelin.44,-34.301959,114.650605,S
SMN.Hamelin.45,-34.303044,114.642015,S
SMN.Hamelin.46,-34.304128,114.633425,S
SMN.Hamelin.47,-34.305211,114.624835,S
SMN.Hamelin.48,-34.305976,114.618764,S
SMN.Recherche.02,-34.3521,123.551,S
SMN.Recherche.01,-34.3537,123.5453,S
SMN.Bald.Is.01a,-34.90118,118.431,S
SMN.Bald.Is.02a,-34.90291,118.4376,S
SMN.Bald.Is.01b,-34.94077,118.477794,S
SMN.Bald.Is.02b,-34.947715,118.480157,S
SMN.2.Peoples.Bay.03,-34.951483,118.17315,S
SMN.Bald.Is.03,-34.95466,118.482521,S
SMN.2.Peoples.Bay.01,-34.955117,118.17225,S
SMN.2.Peoples.Bay.02,-34.957333,118.172183,S
SMN.2.Peoples.Bay.04,-34.960333,118.172517,S
SMN.Bald.Is.04,-34.961605,118.484885,S
SMN.2.Peoples.Bay.06,-34.965933,118.189917,S
SMN.2.Peoples.Bay.05,-34.96815,118.17515,S
SMN.Bald.Is.05,-34.96855,118.48725,S
SMN.Bald.Is.06,-34.975494,118.489615,S
SMN.Bald.Is.07,-34.982439,118.491981,S
SMN.Bald.Is.08,-34.989383,118.494346,S
SMN.Bald.Is.09,-34.996328,118.496713,S
SMN.Bald.Is.10,-35.003272,118.499079,S
SMN.Bald.Is.11,-35.010216,118.501447,S
SMN.Bald.Is.12,-35.017161,118.503814,S
SMN.Chatham.0.1,-35.0184,116.499,S
SMN.Chatham.0.2,-35.023,116.4986,S
SMN.Bald.Is.13,-35.024105,118.506182,S
SMN.Bald.Is.14,-35.031049,118.508551,S
SMN.Bald.Is.15,-35.037993,118.510919,S
SMN.Chatham.01,-35.042482,116.496536,S
SMN.Bald.Is.16,-35.044937,118.513289,S
SMN.Chatham.02,-35.049613,116.495212,S
SMN.Bald.Is.17,-35.051881,118.515658,S
SMN.Chatham.03,-35.056744,116.493889,S
SMN.Bald.Is.18,-35.058825,118.518028,S
SMN.Chatham.04,-35.063876,116.492565,S
SMN.Bald.Is.19,-35.065769,118.520399,S
SMN.Chatham.05,-35.071007,116.491241,S
SMN.Bald.Is.20,-35.072712,118.52277,S
SMN.Chatham.06,-35.078138,116.489917,S
SMN.Bald.Is.21,-35.079656,118.525141,S
SMN.Chatham.07,-35.085269,116.488592,S
SMN.Bald.Is.22,-35.0866,118.527513,S
SMN.Chatham.08,-35.0924,116.487268,S
SMN.Bald.Is.23,-35.093543,118.529885,S
SMN.Chatham.09,-35.099531,116.485943,S
SMN.Bald.Is.24,-35.100487,118.532258,S
SMN.Chatham.10,-35.106662,116.484618,S
SMN.Bald.Is.25,-35.10743,118.534631,S
SMN.Chatham.11,-35.113793,116.483292,S
SMN.Bald.Is.26,-35.114374,118.537004,S
SMN.Chatham.12,-35.120923,116.481966,S
SMN.Bald.Is.27,-35.121317,118.539378,S
SMN.Chatham.13,-35.128054,116.480641,S
SMN.Bald.Is.28,-35.12826,118.541753,S
SMN.Chatham.14,-35.135185,116.479314,S
SMN.Bald.Is.29,-35.135203,118.544127,S
SMN.Bald.Is.30,-35.142146,118.546503,S
SMN.Chatham.15,-35.142316,116.477988,S
SMN.Bald.Is.31,-35.149089,118.548878,S
SMN.Chatham.16,-35.149447,116.476661,S
SMN.Chatham.17,-35.156578,116.475335,S
SMN.Chatham.18,-35.163708,116.474007,S
SMN.Chatham.19,-35.170839,116.47268,S
SMN.Chatham.20,-35.17797,116.471353,S
SMN.Chatham.21,-35.1851,116.470025,S
SMN.Chatham.22,-35.192231,116.468697,S
SMN.Chatham.23,-35.199362,116.467368,S
SMN.Chatham.24,-35.206492,116.46604,S
SMN.Chatham.25,-35.213623,116.464711,S
SMN.Chatham.26,-35.220754,116.463382,S
SMN.Chatham.27,-35.227884,116.462053,S
SMN.Chatham.28,-35.235015,116.460723,S
SMN.Chatham.29,-35.242145,116.459394,S
SMN.Chatham.30,-35.249275,116.458064,S
SMN.Chatham.31,-35.256406,116.456733,S
SMN.Chatham.32,-35.263536,116.455403,S
SMN.Chatham.33,-35.270667,116.454072,S
SMN.Chatham.34,-35.277797,116.452741,S
SMN.Chatham.35,-35.284927,116.45141,S
SMN.Chatham.36,-35.292058,116.450079,S
SMN.Chatham.37,-35.299188,116.448747,S
SMN.Chatham.38,-35.306318,116.447415,S
SMN.Chatham.39,-35.313448,116.446083,S
SMN.Chatham.40,-35.320579,116.44475,S
SMN.Chatham.41,-35.327709,116.443418,S
SMN.Chatham.42,-35.33447,116.442991,S
